1,Tyler Hansbrough,2302
2,Phil Ford,2290
3,Sam Perkins,2145
4,Lennie Rosenbluth,2045
5,Al Wood,2015
6,Charles Scott,2007
7,Larry Miller,1982
8,Antawn Jamison,1974
9,Brad Daugherty,1912
10,Walter Davis,1863
11,Bobby Lewis,1836
12,Michael Jordan,1788
13,Mike O’Koren,1765
14,George Lynch,1747
15,Rashad McCants,1721
16,Billy Cunningham,1709
17,Rick Fox,1703
18,Kenny Smith,1636
19,Eric Montross,1627
20,Jawad Williams,1626
21,Hubert Davis,1615
22,Mitch Kupchak,1611
23,Jeff Lebo,1567
24,J.R. Reid,1552
25,Scott Williams,1508
26,Donald Williams,1492
27,Dennis Wuycik,1469
28,Jason Capel,1447
29,Shammond Williams,1445
30,Brendan Haywood,1411
31,Kris Lang,1392
32,Rusty Clark,1339
33,Pete Brennan,1332
34,Al Lifson,1322
35,Kevin Madden,1296
36,George Karl,1293
37,Joseph Forte,1290
38,York Larese,1287
39,Vince Carter,1267
40,Bobby Jones,1264
41,Ed Cota,1261
42,Raymond Felton,1260
43,Ademola Okulaja,1254
44,Wayne Ellington,1233
45,Joe Wolf,1231
46,James Worthy,1219
47,Sean May,1213
48,Jerry Vayda,1187
49,Matt Doherty,1165
50,Pete Chilcutt,1150
51,Jeff McInnis,1128
52,Brian Reese,1113
53,Dante Calabria,1098
54,Jerry Stackhouse,1080
55,Bill Bunting,1069
56,Lee Shaffer,1053
57,Lee Dedmon,1019
58,Hook Dillon,1021
59,Vince Grimaldi,1018
60,Tommy LaGarde,1007
61,Danny Green,1005
